Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
1,250308,Ap,Probe,,0-28,28,Ab,10YR4/2,,Not Found,,,LS,,,VF,near standing water on edge of field,4/16/2025,,,,,,,
1,250309,AB,Probe,,28-52,24,C,7.5YR4/6,,Not Found,,,SL,10,,FR,Plowpan,4/16/2025,,,,,,,
1,250310,Bt1,Probe,,52-92,40,C,7.5YR4/6,,Not Found,,,SL,,,VF,,4/16/2025,,,,,,,
1,250311,Bt2,Probe,,92-115,23,Ab,7.5YR4/6,,Not Found,,,SL,15,,,charcoal present,4/16/2025,,,Yes,,,,
1,250312,Ab,Probe/Auger,,115-135,20,C,7.5YR3/4,,Not Found,,,SL,8,,,"charcoal present, org stain",4/16/2025,,,Yes,,,,
1,250313,Btb1,Auger,,135-165,30,C,7.5YR5/8,,Not Found,,,SL,15,,,bleached root channels/ charcoal present,4/16/2025,,,Yes,,,,
1,250314,Btb2,Auger,,165-190+,25,,7.5YR5/8,,Not Found,,,SL,12,,,"depletions, 10YR7/4, common. POINT 1 ",4/16/2025,,,,Yes,,,
2,250315,Ap,Probe,,0-23,23,Ab,7.5YR4/4,,Not Found,,,,,1MGr,,,4/16/2025,,,,,,,
2,250316,Bt1,Probe,,23-50,27,C,2.5YR3/6,,Not Found,,,,,2MSBK,,organic stains,4/16/2025,,,,,,,
2,250317,Bt2,Probe,,50-80,30,Gr,2.5YR4/6,,Not Found,,,,,2MSBK,,"charcoal, organic stains, ironstone",4/16/2025,,,Yes,,,,
2,250318,Bt3,Probe/Auger,,80-125,45,Gr,2.5YR4/6,,Not Found,,,,,2MSBK,,,4/16/2025,,,,,,,
2,250319,Bt4,Auger,,125-152+,27,,2.5YR4/6,,Not Found,,,,,2MSBK,,,4/16/2025,,,,,,,
3,250320,Ap,Probe,,0-39,39,C,10YR3/2,,Not Found,,,,,1MGr,,VF roots,4/16/2025,,,Yes,,,,
3,250321,Bt1,Probe,,39-62,23,C,5YR4/4,,Not Found,,,,,1MSBK,,"organic stains, charcoal, VFroots, common",4/16/2025,,,Yes,,,,
3,250322,Bt2,Probe,,62-108,46,C,5YR4/6,,Not Found,,,,,2MSBK,,"manganese, charcoal, VF roots, few 5YR5/6 concentrations",4/16/2025,,,,,Yes,,
3,250323,Bt3,Probe/Auger,,108-150+,42,,2.5YR4/6,,Not Found,,,,,2MSBK,,VF roots,4/16/2025,,,,,,,
