"point","id","hzid","top","bottom","texture","sand","silt","clay","color","red","green","blue","depletions","concentrations","first_letter_code","htm","intermingle_body","matrix_color","lon","lat"
"1",250308,"Ap",0,28,"loamy_sand",82.2,11.535,6.265,"#6E5E4BFF",0.432479607618406,0.367561696190658,0.294406483459129,0,0,1,0,0,"10YR4/2",-9321426.9554,3819974.8461
"1",250309,"AB",28,52,"sandy_clay_loam",57.8,13.9,28.3,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,1,0,0,"7.5YR4/6",-9321426.9554,3819974.8461
"1",250310,"Bt1",52,92,"sandy_clay_loam",60.15,14.9,24.95,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,2,0,0,"7.5YR4/6",-9321426.9554,3819974.8461
"1",250311,"Bt2",92,115,"sandy_loam",66.05,15.8,18.15,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,2,0,0,"7.5YR4/6",-9321426.9554,3819974.8461
"1",250312,"Ab",115,135,"sandy_loam",73.25,14.4,12.35,"#604026FF",0.376458621305308,0.252292330269399,0.147759502056216,0,0,1,0,0,"7.5YR3/4",-9321426.9554,3819974.8461
"1",250313,"Btb1",135,165,"sandy_loam",67.8,12.5,19.7,"#AA6D27FF",0.666108348481435,0.426894637628799,0.154732757924367,0,0,2,0,0,"7.5YR5/8",-9321426.9554,3819974.8461
"1",250314,"Btb2",165,190,"sandy_loam",70.1,10.8,19.1,"#AA6D27FF",0.666108348481435,0.426894637628799,0.154732757924367,1,0,2,0,0,"7.5YR5/8",-9321426.9554,3819974.8461
"10",250344,"Ap",0,25,"loamy_sand",79.5,13.225,7.275,"#795B36FF",0.472691508652081,0.35735626513352,0.212414841208295,0,0,1,0,0,"10YR4/4",-9321430.1,3820098.1431
"10",250345,"BA",25,45,"sandy_clay",49.45,13.85,36.7,"#7D593AFF",0.488397126185639,0.349362062820934,0.229243737407669,0,0,2,0,0,"7.5YR4/4",-9321430.1,3820098.1431
"10",250346,"Bt1",45,70,"sandy_clay",48.05,14.15,37.8,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,2,0,0,"7.5YR4/6",-9321430.1,3820098.1431
"10",250347,"Bt2",70,104,"sandy_clay",49.6,11.8,38.6,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,2,0,0,"7.5YR4/6",-9321430.1,3820098.1431
"10",250348,"Bt3",104,150,"sandy_clay",55.05,9.7,35.25,"#A3711CFF",0.638113921369183,0.442354666945537,0.108705747862766,0,0,2,0,0,"10YR5/8",-9321430.1,3820098.1431
"11",250349,"Ap",0,22,"loamy_sand",85.45,9.15,5.4,"#5C4222FF",0.361873759572945,0.25989391202173,0.133752109711314,0,0,1,0,0,"10YR3/4",-9321273.288,3820102.1801
"11",250350,"BA",22,41,"sandy_loam",67.2,15.1,17.7,"#634008FF",0.387081079421887,0.251443575902701,0.0328349861853681,0,0,2,0,0,"10YR3/6",-9321273.288,3820102.1801
"11",250351,"Bt1",41,81,"sandy_clay_loam",62.9,14.4,22.7,"#855628FF",0.520972226519258,0.337551851173978,0.15629626380523,0,0,2,0,0,"7.5YR4/6",-9321273.288,3820102.1801
"11",250352,"Bt2",81,112,"sandy_clay_loam",54.2,11.85,33.95,"#89542FFF",0.536623416931948,0.327779698883437,0.18354006337042,0,0,2,0,0,"5YR4/6",-9321273.288,3820102.1801
"11",250353,"Bt3",112,150,"sandy_clay_loam",57.6,11.1,31.3,"#9C7337FF",0.613039703549513,0.450352989954951,0.216677275892247,1,1,2,0,0,"10YR5/6",-9321273.288,3820102.1801
"12",250354,"Ap",0,29,"loamy_sand",83.9,9.59,6.51,"#745C41FF",0.454480088447122,0.362215367450688,0.253726831161974,0,0,1,0,0,"10YR4/3",-9321116.4758,3820106.2149
"12",250355,"BA",29,41,"sandy_clay_loam",56.3,13.2,30.5,"#604026FF",0.376458621305308,0.252292330269399,0.147759502056216,0,0,2,0,0,"7.5YR3/4",-9321116.4758,3820106.2149
"12",250356,"Bt1",41,68,"sandy_clay_loam",58.45,14.45,27.1,"#7F583FFF",0.498562877493358,0.343312649829985,0.247730598344407,0,0,2,0,0,"5YR4/4",-9321116.4758,3820106.2149
"12",250357,"Bt2",68,118,"sandy_clay_loam",57.25,10.35,32.4,"#89542FFF",0.536623416931948,0.327779698883437,0.18354006337042,0,0,2,0,0,"5YR4/6",-9321116.4758,3820106.2149
