id,sample,horizon,texture,pH,clay,sand,silt,color,h
23,240341,18,LS,,5.075,86.1,8.825,10YR4/3,Ap1
23,240342,14,LS,,4.955,86.95,8.095,10YR4/3,Ap2
23,240343,33,SCL,,22.25,65.5,12.25,10YR5/6,Bt1
23,240344,35,SCL,,21.8,67.65,10.55,10YR5/6,Bt2
23,240345,49,SL,,19.45,71.3,9.25,10YR5/6,Btv
29,240311,20,LS,,5.5,86.2,8.3,5YR 4/4,Ap1
29,240312,14,SL,,15.7,74.2,10.1,5YR 4/4,Ap2
29,240313,35,SCL,,23.75,65.3,10.95,5YR4/6,Bt1
29,240314,58,C,,66.7,28.7,4.6,2.5YR3/6,Bt2
29,240315,39,C,,53.3,41.1,5.6,2.5YR3/6,Bt3
30,240316,11,LS,,5.37,86.5,8.13,7.5 YR 3/4,Ap1
30,240317,10,LS,,7.77,83.25,8.98,7.5YR 4/3,Ap2
30,240318,27,SC,,38.8,51.25,9.95,5YR3/4,Bt1
30,240319,24,SC,,40.45,50.2,9.35,2.5YR4/8,Bt2
30,240320,38,C,,66.5,28.95,4.55,2.5YR3/6,Bt3
30,240321,57,C,,69.15,27.05,3.8,2.5YR3/6,Bt4
34,240346,11,LS,,5.99,82.25,11.76,10YR4/2,Ap1
34,240347,23,LS,,5.48,86.6,7.92,10YR5/3,Ap2
34,240348,26,SCL,,23.2,62.25,14.55,10YR5/6,Bt1
34,240349,40,SL,,9.245,79.2,11.555,2.5Y5/6,Bt2
34,240350,27,LS,,8.075,81.65,10.275,2.5Y6/4,Btv1
34,240351,24,LS,,8.465,82.3,9.235,2.5Y6/4,Btv2
40,240322,13,SCL,,28.55,62.9,8.55,5YR4/6,Ap
40,240323,17,C ,,65.65,29.05,5.3,2.5YR3/6,BA
40,240324,40,C ,,74.4,22.15,3.45,2.5YR3/6,Bt1
40,240325,57,C ,,73.35,23.7,2.95,10R4/6,Bt2
40,240326,29,C ,,73.85,23.75,2.4,10R4/6,Bt3
44,240352,27,LS,,5.32,85.1,9.58,10YR4/2,Ap1
44,240353,19,LS,,5.895,83.2,10.905,10YR4/2,A/E
44,240354,17,LS,,6.355,83.1,10.545,2.5Y6/4,E
44,240355,31,LS,,7.245,82.35,10.405,10YR6/4,Bt
44,240356,34,LS,,7.14,83.05,9.81,2.5Y5/6,Btv1
44,240357,30,LS,,9.14,82.4,8.46,10YR6/2,Btv2
53,240358,26,LS,,6.25,82.9,10.85,10YR3/3,Ap1
53,240359,22,SL,,10.75,78.1,11.15,10YR4/4,Ap2
53,240360,35,SL,,16.6,73.4,10,7.5YR4/6,Bt1
53,240361,32,SCL,,23.2,67.55,9.25,2.5YR4/6,Bt2
53,240362,44,C ,,54.55,41.15,4.3,2.5YR3/6,Bt3
54,240363,18,LS,,5.15,86.3,8.55,10YR4/4,Ap1
