Point,Sample,CLAY,SAND,SILT,Average AB sand,Average AB clay,Average AB silt,TextureAbbreviated,Texture
29,240311A,5.65,85.5,8.85,86.2,5.5,8.3,LS,Loamy Sand
29,240311B,5.35,86.9,7.75,,,,,
29,240312A,16.4,73.5,10.1,74.2,15.7,10.1,SL,Sandy Loam
29,240312B,15,74.9,10.1,,,,,
29,240313A,24.8,64.1,11.1,65.3,23.75,10.95,SCL,Sandy Clay Loam
29,240313B,22.7,66.5,10.8,,,,,
29,240314A,67.7,27.9,4.4,28.7,66.7,4.6,C,Clay
29,240314B,65.7,29.5,4.8,,,,,
29,240315A,52.8,41.3,5.9,41.1,53.3,5.6,C,Clay
30,240315B,53.8,40.9,5.3,,,,,
30,240316A,5.51,85.9,8.59,86.5,5.37,8.13,LS,Loamy Sand
30,240316B,5.23,87.1,7.67,,,,,
30,240317A,7.51,83.5,8.99,83.25,7.77,8.98,LS,Loamy Sand
30,240317B,8.03,83,8.97,,,,,
30,240318A,39.4,50.6,10,51.25,38.8,9.95,SC,Sandy Clay
30,240318B,38.2,51.9,9.9,,,,,
30,240319A,40.5,50.2,9.3,50.2,40.45,9.35,SC,Sandy Clay
30,240319B,40.4,50.2,9.4,,,,,
30,240320A,68.1,27.5,4.4,28.95,66.5,4.55,C,Clay
30,240320B,64.9,30.4,4.7,,,,,
30,240321A,69.7,26.4,3.9,27.05,69.15,3.8,C ,Clay
30,240321B,68.6,27.7,3.7,,,,,
40,240322A,29.5,62.1,8.4,62.9,28.55,8.55,SCL,Sandy Clay Loam
40,240322B,27.6,63.7,8.7,,,,,
40,240323A,65.4,29.4,5.2,29.05,65.65,5.3,C ,Clay
40,240323B,65.9,28.7,5.4,,,,,
40,240324A,74.3,22.2,3.5,22.15,74.4,3.45,C ,Clay
40,240324B,74.5,22.1,3.4,,,,,
40,240325A,73.9,23.3,2.8,23.7,73.35,2.95,C ,Clay
40,240325B,72.8,24.1,3.1,,,,,
40,240326A,74.6,22.7,2.7,23.75,73.85,2.4,C ,Clay
40,240326B,73.1,24.8,2.1,,,,,
61,240327A,7.42,82.8,9.78,83.5,7.045,9.455,LS,Loamy Sand
61,240327B,6.67,84.2,9.13,,,,,
61,240328A,48.6,42.9,8.5,43.8,47.75,8.45,C ,Clay
61,240328B,46.9,44.7,8.4,,,,,
61,240329A,53.9,38.7,7.4,40.9,51.75,7.35,C ,Clay
61,240329B,49.6,43.1,7.3,,,,,
61,240330A,61.8,33.7,4.5,35.7,59.7,4.6,C ,Clay
61,240330B,57.6,37.7,4.7,,,,,
68,240331A,5.43,85.7,8.87,85.85,5.4,8.75,LS,Loamy Sand
68,240331B,5.37,86,8.63,,,,,
68,240332A,17.1,64.3,18.6,72.5,12.655,14.845,SL,Sandy Loam
68,240332B,8.21,80.7,11.09,,,,,
68,240333A,46.8,43.8,9.4,42.95,47.45,9.6,C ,Clay
68,240333B,48.1,42.1,9.8,,,,,
68,240334A,75.9,20.8,3.3,21.2,75.35,3.45,C ,Clay
68,240334B,74.8,21.6,3.6,,,,,
68,240335A,78.9,18.8,2.3,17.5,80,2.5,C ,Clay
68,240335B,81.1,16.2,2.7,,,,,
69,240336A,6.03,83.9,10.07,84.45,5.85,9.7,LS,Loamy Sand
69,240336B,5.67,85,9.33,,,,,
69,240337A,12.2,75.6,12.2,56.4,28,15.6,SCL,Sandy Clay Loam
69,240337B,43.8,37.2,19,,,,,
69,240338A,47.1,42.2,10.7,42.95,46.45,10.6,C ,Clay
69,240338B,45.8,43.7,10.5,,,,,
69,240339A,67.1,27.2,5.7,26.85,67.45,5.7,C ,Clay
69,240339B,67.8,26.5,5.7,,,,,
69,240340A,77.5,19.2,3.3,18.8,78.25,2.95,C ,Clay
69,240340B,79,18.4,2.6,,,,,
,230045A,7.31,82.6,10.09,6.965,83.2,9.835,,
,230045B,6.62,83.8,9.58,,,,,
,230046A,59.4,34.1,6.5,59.75,33.6,6.65,,
,230046B,60.1,33.1,6.8,,,,,
,230047A,29.8,61.2,9,28.85,62.15,9,,
,230047B,27.9,63.1,9,,,,,
,230049A,6.64,85.2,8.16,8.52,82.9,8.58,,
,230049B,10.4,80.6,9,,,,,
,230051A,4.93,86.8,8.27,4.825,87.05,8.125,,
,230051B,4.72,87.3,7.98,,,,,
,230052A,16.8,70.6,12.6,17.05,69.95,13,,
,230052B,17.3,69.3,13.4,,,,,
,230053A,23,64.3,12.7,22.6,64.75,12.65,,
,230053B,22.2,65.2,12.6,,,,,
,240332C,7.95,81,11.05,8.08,80.85,11.07,,
,240332B,8.21,80.7,11.09,,,,,
,240371A,7.35,80.9,11.75,7.455,80.7,11.845,,
,240371B,7.56,80.5,11.94,,,,,
,240372A,7.56,79.8,12.64,7.51,79.95,12.54,,
,240372B,7.46,80.1,12.44,,,,,
,240373A,66.4,28.3,5.3,66.5,28.05,5.45,,
,240373B,66.6,27.8,5.6,,,,,
,240374A,66.9,28.2,4.9,66.75,28.4,4.85,,
,240374B,66.6,28.6,4.8,,,,,
,230056A,5.44,85.8,8.76,5.395,85.8,8.805,,
,230056B,5.35,85.8,8.85,,,,,
,230057A,44.9,44.2,10.9,45.2,43.9,10.9,,
,230057B,45.5,43.6,10.9,,,,,
,230058A,63.7,29.7,6.6,64.3,29.05,6.65,,
,230058B,64.9,28.4,6.7,,,,,
,230059A,67.1,27.8,5.1,66.25,28.5,5.25,,
,230059B,65.4,29.2,5.4,,,,,
,230060A,66.4,29.1,4.5,67.7,28,4.3,,
,230060B,69,26.9,4.1,,,,,
,230062A,31.5,57.6,10.9,31.65,57.85,10.5,,
,230062B,31.8,58.1,10.1,,,,,
,230063A,33.6,56.4,10,33.15,57.15,9.7,,
,230063B,32.7,57.9,9.4,,,,,
,230065A,33.9,59.2,6.9,31.9,61.7,6.4,,
,230065B,29.9,64.2,5.9,,,,,
,230066A,30.2,63.8,6,31.3,62.15,6.55,,
,230066B,32.4,60.5,7.1,,,,,
