CID,LBC 1,LBCeq,pH 2,Ca,K,Mg,Mn,P,Zn
240401,184,487,6.23,528,58.6,63.2,10.25,38.61,5.41
240405,193,520,6.08,510,64.3,54.3,13.41,17.73,1.26
240409,187,498,6.12,539,49.9,66.0,9.53,19.93,1.50
240413,187,498,5.65,328,28.6,25.1,9.46,16.82,1.27
240417,120,252,5.42,110,25.9,20.5,6.31,2.02,0.19
240421,224,634,5.62,408,78.8,41.1,9.21,23.59,3.82
240425,153,373,5.99,380,39.1,51.0,9.60,10.27,1.22
240429,175,454,6.26,410,37.2,56.1,11.35,16.55,0.98
240433,215,601,6.06,555,75.9,87.7,14.41,25.79,1.81
240437,167,425,5.71,309,29.0,48.9,11.71,17.51,1.68
240441,154,377,6.41,377,43.6,47.4,7.70,23.25,2.16
240445,221,623,5.35,497,98.3,59.8,17.04,6.50,4.08
240449,156,384,6.11,296,20.9,40.3,11.54,5.78,1.10
240453,151,366,6.15,331,24.7,36.1,8.13,9.65,1.02
240457,165,417,6.19,373,33.0,41.2,8.28,16.63,1.41
240461,153,373,6.63,473,32.9,45.3,9.23,24.85,1.76
240465,153,373,6.81,458,45.2,49.2,8.30,29.20,1.76
240469,259,751,5.52,399,78.1,51.4,16.71,8.75,2.06
240473,161,403,6.26,370,34.5,45.9,9.80,18.86,1.32
240477,167,425,6.28,343,31.9,35.5,7.85,9.31,1.20
240481,155,381,6.03,271,46.5,32.6,8.44,6.56,0.99
240485,159,395,5.84,292,28.8,38.7,8.24,13.06,1.30
240489,262,760,6.08,739,82.9,102.3,20.07,23.23,2.44
240493,269,780,5.37,371,47.7,25.6,16.94,15.08,1.24
240497,128,282,5.20,202,59.3,43.9,7.51,3.82,1.10
240501,261,757,6.00,542,52.6,78.0,12.74,25.36,2.21
240505,155,381,6.10,331,42.4,47.6,11.75,2.74,0.92
240509,161,403,6.19,279,44.6,36.3,6.54,6.32,1.05
240513,171,439,6.08,308,50.5,42.1,6.72,14.65,1.58
240517,217,608,5.49,278,63.5,42.2,11.89,10.71,1.57
240521,194,524,5.75,339,80.4,43.2,13.26,10.53,1.25
240525,193,520,5.53,274,46.5,32.4,12.43,5.19,1.22
240529,159,395,6.31,432,34.9,64.9,8.35,22.05,1.55
240533,169,432,6.68,397,30.5,55.0,9.46,13.06,1.36
240537,169,432,6.04,279,31.3,32.1,10.55,15.83,1.43
240541,181,476,5.38,204,72.7,47.9,8.19,4.29,0.53
240545,101,183,5.29,214,56.5,34.8,11.61,3.20,0.56
240549,121,256,5.91,190,17.7,29.8,6.48,6.92,1.06
240553,105,197,5.92,432,40.2,80.9,12.82,8.07,1.20
240557,161,403,5.69,317,27.9,41.7,11.03,6.31,1.46
240561,95,160,6.54,297,32.9,49.2,7.08,3.04,0.77
240565,141,329,6.55,368,32.6,54.5,8.81,15.72,1.62
240569,126,274,6.10,429,49.3,51.7,12.09,13.81,1.60
240573,127,278,5.90,282,53.2,39.6,9.14,4.15,1.08
240577,83,116,5.99,337,40.1,58.6,12.61,8.12,1.66
240581,132,296,6.09,344,41.6,44.2,7.13,10.11,1.14
240598,246,715,6.14,494,87.8,70.9,25.46,38.77,2.22
240602,180,473,5.66,321,50.9,37.5,19.21,18.28,2.37
240606,155,381,5.98,183,45.3,23.9,11.90,9.34,1.27
240610,181,476,6.43,395,54.4,54.9,16.53,22.61,1.77
240614,213,594,6.25,339,58.1,54.1,13.65,22.29,1.83
240618,103,190,6.17,158,40.8,23.4,8.36,10.75,0.89
240622,195,528,6.63,369,71.0,46.5,14.15,8.12,1.43
240626,113,227,6.46,294,59.9,35.9,10.95,11.16,1.40
240630,229,652,6.35,438,77.7,52.2,19.69,29.65,2.61
240634,92,149,5.90,208,42.5,27.0,13.47,11.66,1.00
240638,169,432,6.44,260,44.6,41.3,12.43,11.69,1.07
240642,166,421,6.08,358,42.4,47.7,16.02,26.33,2.02
240646,190,509,6.91,358,38.2,54.0,12.72,13.23,1.67
240650,104,194,6.35,226,52.7,36.5,11.38,14.86,1.13
240654,149,359,6.56,279,36.5,36.6,8.91,13.17,1.45
240658,171,439,6.46,363,55.4,45.8,14.05,25.00,1.78
240662,184,487,6.92,433,68.4,64.8,15.53,30.50,2.00
240666,229,652,5.69,314,50.9,24.8,19.80,33.61,2.32
240670,167,425,6.68,366,44.0,46.1,14.59,19.46,1.56
240674,169,432,6.83,416,46.6,62.8,11.41,16.05,1.72
240678,166,421,7.14,357,40.4,48.4,9.89,17.47,1.84
240682,184,487,6.61,356,64.6,39.1,11.46,17.56,2.13
