CID	LBC 1	LBCeq	pH 2	Ca	K	Mg	Mn	P	Zn
240401	184	487	6.23	528	58.6	63.2	10.25	38.61	5.41
240405	193	520	6.08	510	64.3	54.3	13.41	17.73	1.26
240409	187	498	6.12	539	49.9	66	9.53	19.93	1.5
240413	187	498	5.65	328	28.6	25.1	9.46	16.82	1.27
240417	120	252	5.42	110	25.9	20.5	6.31	2.02	0.19
240421	224	634	5.62	408	78.8	41.1	9.21	23.59	3.82
240425	153	373	5.99	380	39.1	51	9.6	10.27	1.22
240429	175	454	6.26	410	37.2	56.1	11.35	16.55	0.98
240433	215	601	6.06	555	75.9	87.7	14.41	25.79	1.81
240437	167	425	5.71	309	29	48.9	11.71	17.51	1.68
240441	154	377	6.41	377	43.6	47.4	7.7	23.25	2.16
240445	221	623	5.35	497	98.3	59.8	17.04	6.5	4.08
240449	156	384	6.11	296	20.9	40.3	11.54	5.78	1.1
240453	151	366	6.15	331	24.7	36.1	8.13	9.65	1.02
240457	165	417	6.19	373	33	41.2	8.28	16.63	1.41
240461	153	373	6.63	473	32.9	45.3	9.23	24.85	1.76
240465	153	373	6.81	458	45.2	49.2	8.3	29.2	1.76
240469	259	751	5.52	399	78.1	51.4	16.71	8.75	2.06
240473	161	403	6.26	370	34.5	45.9	9.8	18.86	1.32
240477	167	425	6.28	343	31.9	35.5	7.85	9.31	1.2
240481	155	381	6.03	271	46.5	32.6	8.44	6.56	0.99
240485	159	395	5.84	292	28.8	38.7	8.24	13.06	1.3
240489	262	760	6.08	739	82.9	102.3	20.07	23.23	2.44
240493	269	780	5.37	371	47.7	25.6	16.94	15.08	1.24
240497	128	282	5.2	202	59.3	43.9	7.51	3.82	1.1
240501	261	757	6	542	52.6	78	12.74	25.36	2.21
240505	155	381	6.1	331	42.4	47.6	11.75	2.74	0.92
240509	161	403	6.19	279	44.6	36.3	6.54	6.32	1.05
240513	171	439	6.08	308	50.5	42.1	6.72	14.65	1.58
240517	217	608	5.49	278	63.5	42.2	11.89	10.71	1.57
240521	194	524	5.75	339	80.4	43.2	13.26	10.53	1.25
240525	193	520	5.53	274	46.5	32.4	12.43	5.19	1.22
240529	159	395	6.31	432	34.9	64.9	8.35	22.05	1.55
240533	169	432	6.68	397	30.5	55	9.46	13.06	1.36
240537	169	432	6.04	279	31.3	32.1	10.55	15.83	1.43
240541	181	476	5.38	204	72.7	47.9	8.19	4.29	0.53
240545	101	183	5.29	214	56.5	34.8	11.61	3.2	0.56
240549	121	256	5.91	190	17.7	29.8	6.48	6.92	1.06
240553	105	197	5.92	432	40.2	80.9	12.82	8.07	1.2
240557	161	403	5.69	317	27.9	41.7	11.03	6.31	1.46
240561	95	160	6.54	297	32.9	49.2	7.08	3.04	0.77
240565	141	329	6.55	368	32.6	54.5	8.81	15.72	1.62
240569	126	274	6.1	429	49.3	51.7	12.09	13.81	1.6
240573	127	278	5.9	282	53.2	39.6	9.14	4.15	1.08
240577	83	116	5.99	337	40.1	58.6	12.61	8.12	1.66
240581	132	296	6.09	344	41.6	44.2	7.13	10.11	1.14
240598	246	715	6.14	494	87.8	70.9	25.46	38.77	2.22
240602	180	473	5.66	321	50.9	37.5	19.21	18.28	2.37
240606	155	381	5.98	183	45.3	23.9	11.9	9.34	1.27
240610	181	476	6.43	395	54.4	54.9	16.53	22.61	1.77
240614	213	594	6.25	339	58.1	54.1	13.65	22.29	1.83
240618	103	190	6.17	158	40.8	23.4	8.36	10.75	0.89
240622	195	528	6.63	369	71	46.5	14.15	8.12	1.43
240626	113	227	6.46	294	59.9	35.9	10.95	11.16	1.4
240630	229	652	6.35	438	77.7	52.2	19.69	29.65	2.61
240634	92	149	5.9	208	42.5	27	13.47	11.66	1
240638	169	432	6.44	260	44.6	41.3	12.43	11.69	1.07
240642	166	421	6.08	358	42.4	47.7	16.02	26.33	2.02
240646	190	509	6.91	358	38.2	54	12.72	13.23	1.67
240650	104	194	6.35	226	52.7	36.5	11.38	14.86	1.13
240654	149	359	6.56	279	36.5	36.6	8.91	13.17	1.45
240658	171	439	6.46	363	55.4	45.8	14.05	25	1.78
240662	184	487	6.92	433	68.4	64.8	15.53	30.5	2
240666	229	652	5.69	314	50.9	24.8	19.8	33.61	2.32
240670	167	425	6.68	366	44	46.1	14.59	19.46	1.56
240674	169	432	6.83	416	46.6	62.8	11.41	16.05	1.72
240678	166	421	7.14	357	40.4	48.4	9.89	17.47	1.84
240682	184	487	6.61	356	64.6	39.1	11.46	17.56	2.13
240400	189	506	6.55	661	64.3	74.8	17.50	45.86	6.75
240402	202	553	5.98	655	76.3	76.6	19.04	80.68	26.25
240403	170	436	5.87	654	78.3	95.6	17.83	82.64	30.42
240404	242	700	6.21	635	97.7	79.8	24.25	24.61	1.53
240406	156	384	6.18	623	63.3	55.1	17.86	15.66	1.89
240407	204	561	6.18	451	57.2	65.5	14.56	13.75	1.36
240408	149	359	5.90	413	63.2	53.1	14.47	31.22	1.28
240410	196	531	6.03	441	48.9	56.9	15.20	27.72	1.20
240411	154	377	5.84	552	50.1	73.8	21.09	31.38	4.10
240412	164	414	5.62	408	37.2	38.5	21.60	16.66	2.43
240414	128	282	5.84	345	53.2	61.4	17.63	13.10	1.38
240415	172	443	5.82	288	35.7	41.9	14.65	17.16	1.53
240416	148	355	5.36	313	90.0	57.2	53.17	17.66	6.21
240418	233	667	6.40	544	102.6	49.6	21.01	16.37	4.17
240419	142	333	5.94	317	111.3	51.0	11.00	10.69	3.58
240420	173	447	5.69	583	130.4	65.3	21.30	26.21	6.77
240422	154	377	6.27	427	55.3	41.9	12.95	20.68	0.95
240423	223	630	6.11	490	68.7	66.6	16.30	20.30	1.13
240424	140	326	6.32	550	49.7	93.2	20.37	15.18	1.87
240426	207	572	6.44	407	68.3	57.0	16.83	18.70	0.92
240427	148	355	6.59	509	46.8	81.7	18.05	21.86	1.34
240428	211	586	6.19	480	24.7	70.2	19.69	20.24	1.35
240430	143	337	6.31	456	26.8	55.8	19.77	20.78	1.32
240431	206	568	6.23	497	64.1	58.8	21.85	13.68	1.35
240432	212	590	6.29	424	49.9	61.9	19.42	16.94	1.58
240434	233	667	6.27	645	69.4	86.1	28.02	29.62	2.33
240435	167	425	6.15	542	64.2	84.6	24.63	29.30	2.34
240436	143	337	5.45	471	50.6	73.9	22.92	26.72	2.10
240438	128	282	6.88	283	45.7	40.3	22.92	20.92	1.70
240439	211	586	6.51	325	29.8	48.6	11.13	22.57	1.30
240440	136	311	6.60	369	28.6	58.7	11.50	25.44	2.52
240442	184	487	5.90	488	104.8	91.4	38.55	8.86	1.32
240443	171	439	5.64	299	114.6	48.2	32.24	18.01	1.13
240444	205	564	5.96	724	101.2	69.5	30.30	9.12	5.04
240446	149	359	5.33	228	78.7	56.1	12.85	3.10	0.64
240447	164	414	5.50	373	89.7	101.3	16.63	3.12	0.82
240448	166	421	6.47	424	52.0	75.4	23.02	8.34	0.92
240450	186	495	6.18	360	19.8	48.8	15.78	13.96	1.14
240451	153	373	5.90	370	32.4	55.7	16.40	16.18	1.33
240452	172	443	6.26	384	21.6	43.4	14.23	10.28	1.36
240454	165	417	6.51	593	75.7	73.8	21.03	19.58	1.88
240455	177	461	6.29	441	46.4	61.8	19.47	11.71	1.94
240456	199	542	6.14	686	46.9	68.4	16.45	29.40	4.28
240458	150	362	5.59	273	24.2	21.9	13.06	29.85	3.18
240459	165	417	6.26	413	31.6	43.1	16.65	27.66	1.50
240460	121	256	6.56	467	53.1	63.9	14.01	29.41	2.97
240462	204	561	6.00	549	30.4	99.8	15.33	38.52	2.08
240463	240	693	6.10	583	45.9	50.2	16.64	41.51	2.33
240464	215	601	6.95	622	39.4	73.4	13.09	34.47	4.90
240466	206	568	6.35	681	34.0	29.4	29.22	9.42	2.17
240467	230	656	6.18	751	54.0	45.5	32.39	11.26	3.37
240468	701	2033	4.79	596	101.6	104.6	46.82	11.77	5.48
240470	162	406	5.17	120	29.6	41.5	8.73	2.49	0.24
240471	225	638	5.12	177	41.1	58.4	14.25	3.10	0.47
240472	145	344	6.72	450	29.8	68.3	14.80	23.16	2.01
240474	156	384	5.63	328	19.2	44.3	14.98	19.81	3.88
240475	223	630	6.34	550	30.8	78.0	17.79	20.52	2.04
240476	166	421	6.20	310	39.1	39.6	11.78	8.32	1.55
240478	217	608	6.47	432	51.1	85.5	13.63	12.65	1.11
240479	206	568	5.82	351	44.9	48.3	17.27	12.51	2.10
240480	223	630	5.90	543	68.5	100.8	14.45	10.32	1.78
240482	249	726	5.83	484	45.6	114.3	16.89	25.17	1.77
240483	228	649	5.70	301	47.6	40.4	15.03	20.94	1.61
240484	203	557	5.81	303	33.1	40.5	14.31	14.86	1.89
240486	202	553	6.06	452	46.4	58.9	20.18	36.06	2.29
240487	211	586	5.93	420	39.7	44.6	18.45	35.20	2.04
240488	178	465	6.33	737	96.5	97.7	30.83	31.28	2.34
240490	324	940	5.45	594	94.6	107.6	10.39	3.70	1.75
240491	203	557	5.25	430	77.6	84.7	11.58	3.33	1.34
240492	210	583	5.80	418	93.5	41.1	22.96	14.65	1.17
240494	322	934	6.19	611	129.9	67.8	29.90	24.04	2.81
240495	228	649	5.99	485	96.3	78.4	24.93	20.76	2.41
240496	177	461	5.24	305	68.9	82.5	8.15	3.61	0.84
240498	200	546	5.76	381	22.2	49.4	10.66	10.23	1.72
240499	220	619	6.07	418	49.6	70.2	12.30	13.95	1.66
240500	433	1256	6.06	1462	165.3	283.0	52.40	49.45	4.93
240502	154	377	5.92	242	26.1	39.8	11.51	16.99	0.86
240503	164	414	6.08	274	28.1	46.8	12.83	14.27	0.92
240504	166	421	5.75	271	32.3	50.0	17.06	1.62	0.94
240506	151	366	5.93	411	29.7	116.6	8.16	16.61	1.06
240507	157	388	6.19	261	38.0	39.0	7.30	11.87	1.04
240508	157	388	6.22	497	61.0	112.1	13.77	9.60	1.28
240510	164	414	5.85	274	29.2	39.2	10.88	16.60	1.73
240511	183	484	5.85	334	42.7	42.1	13.89	16.33	2.24
240512	153	373	6.12	288	48.6	55.1	11.52	16.58	1.60
240514	228	649	6.40	618	61.7	92.0	33.09	18.68	1.91
240515	248	722	6.46	600	93.7	107.6	30.26	20.32	1.82
240516	206	568	5.20	259	81.3	33.1	18.76	13.75	3.18
240518	208	575	6.20	520	76.2	89.8	25.74	16.40	2.27
240519	223	630	5.89	391	51.6	81.5	19.16	10.91	1.84
240520	214	597	5.91	512	79.1	68.8	27.36	16.68	1.80
240522	175	454	5.91	378	43.3	35.8	21.31	11.47	1.45
240523	181	476	5.84	322	43.4	38.7	20.58	9.30	1.28
240524	199	542	5.50	293	56.1	35.8	24.94	9.59	1.95
240526	161	403	6.02	433	45.2	52.7	19.18	10.55	1.56
240527	152	370	5.92	316	35.7	44.3	16.62	9.23	1.87
240528	160	399	6.27	469	44.9	75.1	14.78	23.67	1.71
