OID,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
1,1506.66552498785,f4561405-6c97-451a-bbd2-324c2d99a7ac,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
2,783.48553432209,4272fe60-555d-442c-852a-727e1daeecbc,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
3,1059.71951673312,cf4b576e-e39c-42ef-b2d6-95a74d7c4881,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
4,1299.40430119079,62808638-2132-4c8c-a2fc-740bd29a519a,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
5,1665.90947802275,2e74ddb7-f27f-4ebe-9998-225686a0a4b5,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
6,956.255438410158,97d4172e-9c87-4987-b2bb-094709fbea07,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
7,1040.02822406389,7ec2bf9c-c599-4164-8919-7eef5d396d57,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
8,1056.29957670449,44e28bab-7750-4a6c-ac5f-4c0c25d7bb8b,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
9,1039.807667215,9c595be0-d565-4776-a1ef-bba6c1fbb338,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
10,1407.11525336349,8a43905b-c995-49bc-abf3-b2b13355480a,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
11,560.693901055487,64268e7c-562f-4a8c-b6a2-529d117c26bd,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
12,1074.18935396183,c5291805-8023-4cec-bd4a-5cce4720bf8c,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
13,1048.42747621849,c1eae351-575a-480a-b127-3efc9128399d,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
14,1624.48135864823,c56bc4f8-a88c-4a9f-a44e-d94a6b546732,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
15,1035.85619945292,d5c54d99-0ba9-448a-b189-84faa6cc850a,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
16,1515.63728410803,eb4e1d7b-7efb-4603-8d49-02bb540b1939,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
17,1188.33674111102,8d43560f-6a55-4444-9e20-dc651815f5d4,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
18,286.429944663999,eb4ba8eb-cf55-44d9-bd91-ded9ba0d0c3c,5/9/2024 6:02:07 PM,mlt10722_USG,5/9/2024 6:02:07 PM,mlt10722_USG
